Year,Month,Day,BeginHour,Vp,Dp,Bz,Kp3,
2000.00,8.00,1.00,0.00,457.80,5.00,-5.20,2.33,
2000.00,8.00,1.00,300.00,467.20,3.60,-7.50,2.00,
2000.00,8.00,1.00,600.00,460.60,3.60,-8.80,1.67,
2000.00,8.00,1.00,900.00,439.60,3.10,-8.20,2.33,
2000.00,8.00,1.00,1200.00,481.60,4.50,-5.10,2.00,
2000.00,8.00,1.00,1500.00,449.10,5.30,-4.90,3.67,
2000.00,8.00,1.00,1800.00,475.50,2.70,-3.00,3.00,
2000.00,8.00,1.00,2100.00,462.10,4.30,-3.80,3.33,
2000.00,8.00,2.00,0.00,487.30,2.80,-1.60,3.33,
2000.00,8.00,2.00,300.00,460.00,4.40,-2.50,3.00,
2000.00,8.00,2.00,600.00,449.00,3.70,0.10,2.00,
2000.00,8.00,2.00,900.00,459.00,2.90,-3.60,1.67,
2000.00,8.00,2.00,1200.00,443.30,3.10,1.40,1.33,
2000.00,8.00,2.00,1500.00,446.30,3.70,-5.10,2.33,
2000.00,8.00,2.00,1800.00,437.50,3.40,-5.00,3.00,
2000.00,8.00,2.00,2100.00,430.30,4.30,-2.90,2.33,
2000.00,8.00,3.00,0.00,428.90,5.00,-3.00,2.33,
2000.00,8.00,3.00,300.00,417.60,4.90,-2.50,2.33,
2000.00,8.00,3.00,600.00,437.50,4.50,-2.70,2.00,
2000.00,8.00,3.00,900.00,412.40,4.80,-0.70,2.33,
2000.00,8.00,3.00,1200.00,429.90,4.60,-4.10,2.00,
2000.00,8.00,3.00,1500.00,428.20,4.30,-4.70,2.67,
2000.00,8.00,3.00,1800.00,430.40,4.60,-4.20,2.67,
2000.00,8.00,3.00,2100.00,448.20,3.80,-2.10,2.00,
2000.00,8.00,4.00,0.00,452.40,4.60,-5.60,3.33,
2000.00,8.00,4.00,300.00,467.30,3.50,-6.60,3.00,
2000.00,8.00,4.00,600.00,428.50,3.40,-1.50,3.33,
2000.00,8.00,4.00,900.00,438.90,3.50,0.40,3.33,
2000.00,8.00,4.00,1200.00,435.20,4.80,-5.30,3.00,
2000.00,8.00,4.00,1500.00,445.40,4.50,-4.60,3.67,
2000.00,8.00,4.00,1800.00,441.20,4.20,-2.00,3.33,
2000.00,8.00,4.00,2100.00,447.10,4.60,-4.70,2.67,
2000.00,8.00,5.00,0.00,450.30,3.90,3.10,2.33,
2000.00,8.00,5.00,300.00,464.00,4.20,-0.30,3.00,
2000.00,8.00,5.00,600.00,487.90,6.90,-7.80,5.00,
2000.00,8.00,5.00,900.00,530.40,2.80,1.80,4.67,
2000.00,8.00,5.00,1200.00,572.50,2.50,-9.80,3.33,
2000.00,8.00,5.00,1500.00,557.50,2.20,-5.40,4.00,
2000.00,8.00,5.00,1800.00,543.00,2.30,-1.40,3.00,
2000.00,8.00,5.00,2100.00,545.00,3.70,-0.60,4.00,
